id,name,city,addr,lat,lng,water,season,skill,launch,parking,amenities,pros,cons,pop,best,gear,tips,law
point-isabel,Point Isabel / Richmond Marina,Richmond,"1901 Isabel St, Richmond, CA",37.9085,-122.3274,salt,spring-fall,I,Small beaches / ramp,Free lots near parks,Restrooms,Scenic shoreline; quieter vibe,Windy PM; mudflats at very low tide,Low,Morning cruises,As‑is; bigger wing for chop tolerance,Mind anglers & dogs; keep wide berth to moorings,Anchorage/harbor 5 mph; no‑wake
sausalito,Sausalito – Richardson Bay / Schoonmaker,Sausalito,"1 Schoonmaker Point Marina, Sausalito, CA",37.8675,-122.483,salt,spring-fall,I|A,Beach / ramp,Free/street (arrive early),Restrooms; cafes,"Gorgeous, calm inside; GG access",Anchored boats; gusts; shallow north end,Medium,Scenic tours; Gate forays (adv),MN 1300C efficient; take 1500C toward Gate,Stay west side; give ferries space; watch ebb near Gate,Richardson Bay channels no‑wake; no‑discharge; CA 5 mph buffers
paradise,Paradise Cay / Tiburon,Tiburon,"Paradise Cay, Tiburon, CA",37.896,-122.479,salt,spring-fall,I,Small beaches / ramps,Neighborhood street / small lots,Limited,Sheltered pockets; Angel Island views,Tight channels; weekend boat traffic,Low,Protected laps; photo ops,As‑is; optional larger stab for tracking,Polite near homes; stay clear of marinas,No‑wake in channels; CA 5 mph proximity
tomales,Tomales Bay (Miller / Nick’s Cove),Inverness/Marshall,"23240 CA-1, Marshall, CA",38.102,-122.851,brackish,spring-fall,B|I|A,County ramps,Lots; day‑use rules,Restrooms,"Flat water, wildlife, scenery",Eelgrass; shallow margins at low tide; PM wind,Medium,Long relaxed cruising,As‑is; Jet good vs eelgrass,Mind sanctuary zones; carry simple chart for shoals,Tomales Bay Vessel Mgmt Plan; launch at permitted ramps; CA 5 mph proximity
pillar,Pillar Point Harbor (Half Moon Bay),Half Moon Bay,"1 Johnson Pier, Half Moon Bay, CA",37.503,-122.48,salt,late-spring-fall,B|I|A,Ramp / beach (inside breakwater),Harbor lots,Restrooms; water,Ocean vibe but protected,Fog & wind; fishing fleets,Medium,Harbor laps; small‑swell carving,As‑is; larger wing if outside gets bumpy,Stay inside if swell up; hail Harbor on VHF 74 if unsure,Harbor no‑wake; 5 mph fairways; Harbor District rules
princeton,Princeton Harbor Beach (inside breakwater),Half Moon Bay,"400 Princeton Ave, Half Moon Bay, CA",37.502,-122.482,salt,late-spring-fall,B|I,Harbor beach,Harbor lots (close),Restrooms,Gentle rollers; easy entry,Kelp strands; fishermen lines,Low–Medium,Beginner ocean feel,As‑is ideal,Keep clear of Johnson Pier & boat lanes,Harbor no‑wake; CA 5 mph proximity
bodega,Bodega Harbor (Sonoma Coast),Bodega Bay,"1410 Bay Flat Rd, Bodega Bay, CA",38.325,-123.04,salt,spring-fall,I|A,Harbor ramp / beaches,Harbor lots,Restrooms; food nearby,Protected harbor inside jetties,Wind/coastal fog; cold water,Low,Harbor laps; wildlife viewing,As‑is; bigger wing outside in swell,Stay inside if swell large; avoid channel when tugs/charters move,Harbor no‑wake; nearby sanctuary rules; CA 5 mph proximity
petaluma,Petaluma River Mouth,Sonoma / San Pablo Bay,"Lakeville Hwy & Hwy 37, Sonoma, CA",38.118,-122.485,brackish,spring-fall,I,Shore access / small ramps inland,Park pullouts,Limited,Wildlife; flat reaches on calm days,Tidal currents; muddy edges,Low,Exploratory flatwater foils,As‑is; watch depths on low tides,Check tides; avoid shallow bends; respect wildlife areas,CA 5 mph proximity; local river slow‑zones may apply
shadow,Shadow Cliffs (Pleasanton) — Freshwater,Pleasanton,"2500 Stanley Blvd, Pleasanton, CA",37.661,-121.822,fresh,summer,B,Beach / small ramp,EBRPD lot (fee) next to water,Restrooms; seasonal showers,"Warm, flat, lesson‑friendly",Small size; algae risk late summer,Medium,Intro sessions & drills,As‑is; larger wing for ultra‑slow hover if desired,Electric only; check algae + inspection at gate,Electric only; quagga inspections; CA 5 mph proximity
delvalle,Lake Del Valle (Livermore) — Freshwater,Livermore,"7000 Del Valle Rd, Livermore, CA",37.589,-121.687,fresh,spring-fall,B|I|A,Ramps,EBRPD lots near ramps,Restrooms; showers; marina,Large warm lake; coves to explore,Busy weekends; algae blooms possible,Medium–High (summer),Distance cruising; teaching,As‑is; bigger stab for tracking if desired,Expect inspection & launch fees; wind builds PM,EBRPD inspections; 5 mph in restricted zones; day fees posted
lex,Lexington Reservoir (Los Gatos) — Freshwater,Los Gatos,"17770 Alma Bridge Rd, Los Gatos, CA",37.212,-121.986,fresh,spring-fall,B|I,Ramp,County lot near ramp,Porta‑potties,Calm; no wakeboats,Limited hours/inspections; levels vary,Low,Quiet practice; carving drills,As‑is; bigger wing for super‑slow training,Verify boating hours & inspection status,Santa Clara Co. inspection program; seasonal hours
berryessa,Lake Berryessa (Napa) — Freshwater,Napa,"5800 Knoxville Rd, Napa, CA",38.512,-122.215,fresh,spring-fall,B|I|A,"Multiple ramps (Capell, Steele, Putah)",Marina/park lots,Restrooms; showers at marinas,Huge warm lake; long runs,Inspections & launch fees; busy coves,Medium–High (summer),Endurance; exploration,As‑is; bigger wing for slower carve with friends,Plan decon if needed; check ramp status,Mussel prevention inspections; day‑use hours
